ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1015,BANK ST,K1S 3W7,Ward 17,26085,pt 17-18,CONTRACTOR UNKNOWN,Commercial,Old Ottawa,Pedestrian bridge at North Stadium Lansdowne,0,0,0,1400471,Construction,2014-02-03
14,APPLEFORD ST,K1J 6T9,Ward 11,591,71,FIREPLACE CENTRE & PATIO SHOP,Single,Gloucester,Install a wood burning fireplace insert on the 1st floor of a 1 storey detached dwelling,0,1900,0,1400472,Construction,2014-02-03
134,SCENIC LANE,K0A 3M0,Ward 5,688,8,***CONTRACTOR***,Single,West Carleton,Install a woodstove in a 1 storey detached dwelling (main floor),0,7000,0,1400473,Construction,2014-02-03
22,ELMA ST,K1T 3W8,Ward 10,634,41,***CONTRACTOR***,Single,Gloucester,Construct a shed (side yard),0,9000,329,1400474,Construction,2014-02-03
22,DELAWARE AVE,K2P 0Z3,Ward 14,4M-3,60 PT LOT 59,***CONTRACTOR***,Apartment,Old Ottawa,"Interior alterations to a 3 storey apartment building (basement, convert a triplex into a 4 unit apartment building)",1,140000,3600,1400475,Construction,2014-02-03
611,CAPUCHON WAY,K4A 0W2,Ward 19,4M1459,39,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Hudson 2012 D,1,252539,1699,1400476,Construction,2014-02-03
665,EARL ARMSTRONG RD,K1V 2G2,Ward 22,4M1099,,NADFAM HOLDINGS INC TRUSTEE,Retail,Gloucester,"Tenant fit-up in a 1 storey retail building (Entice Hair Salon, Unit 8)",0,50000,1173,1400477,Construction,2014-02-03
22,ISABELLA ST,K1S 1V4,Ward 17,45073,,VERLY CONSTRUCTION GROUP,Retail,Old Ottawa,Tenant fit up in a 1 storey strip mall (LCBO),0,687050,10570,1400478,Construction,2014-02-03
609,CAPUCHON WAY,K4A 0W2,Ward 19,4M1459,40,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Griffin 2011 A,1,253431,1705,1400479,Construction,2014-02-03
701,EAGLESON RD,K2M 2G1,Ward 23,,31,"KASSIS, MARK",Retail,Kanata,Tenant fit up in a 1 storey retail building (Unit 3C - Ray and Ray Takeout),0,35000,1100,1400480,Construction,2014-02-03
716,ANNISETTES RIDGE,,Ward 19,4M1459,76,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Parker 2011 B,1,271119,1824,1400481,Construction,2014-02-03
256,TERRAPIN TERR,,Ward 19,4M1459,79,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Hathaway 4 2007 C,1,321211,2161,1400482,Construction,2014-02-03
414,KILSPINDIE RIDGE,,Ward 22,,13,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: 3700A Kawartha 2013 A,1,562156,3782,1400483,Construction,2014-02-04
55,LODGE RD,K2C 3H1,Ward 22,,10-11,I3S,Institutional,Nepean,Interior alterations to replace doors and add maglocks on all floors of a 2 storey institutional building (Carleton Lodge),0,12000,100,1400486,Construction,2014-02-04
11,HOLLAND AVE,K1Y 4S1,Ward 15,,,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,"Tenant fit up on the 1st floor of an 8 storey building (CTE Solutions Inc, Units 21, 23)",0,96000,2325,1400487,Construction,2014-02-04
315,SELBY AVE,K1Z 6R2,Ward 15,267,57,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a porch (front yard),0,10000,192,1400488,Construction,2014-02-04
501,TERRY FOX DR,K2T 1E8,Ward 4,4M-938,,CLAYBAR CONTRACTING INC.,Retail,Kanata,Interior alterations to a 1 storey retail building (Esso/Tim Hortons),0,100000,254,1400489,Construction,2014-02-04
3280,LEITRIM RD,K1T 3Z4,Ward 22,,,CONTRACTOR UNKNOWN,Institutional,Gloucester,Install a structure on the roof for dehumidifier (Fred Barrett Arena),0,6000,54,1400490,Construction,2014-02-04
36,MORTON DR,K2L 1X1,Ward 23,896,1133,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400491,Construction,2014-02-04
10,BARRA AVE,K2L 2R8,Ward 23,M309,33,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a protective plumbing device on the building drain,0,0,0,1400492,Construction,2014-02-04
3928 F,OLD RICHMOND RD,K2H 5C6,Ward 8,599,,SOLID GENERAL CONTRACTORS INC,Rowhouse,Nepean,Interior alterations to a 2 storey row unit (construct load bearing wall in basement),0,2500,32,1400493,Construction,2014-02-04
114,BANNING RD,K2L 1C2,Ward 23,809,451,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a protective plumbing device on the building drain,0,0,0,1400494,Construction,2014-02-04
1047,CANADIAN SHIELD AVE,K2K 0H4,Ward 4,4M-1325,,1047 CANADIAN SHIELD INC,Commercial,Kanata,"Construct a 10 storey mixed use building (residential apartments, ground floor retail, Building C)",0,27349834,184848,1400495,Construction,2014-02-04
25,MONTEBELLO LANE,K2L 1X5,Ward 23,896,pt Lot 1128,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400496,Construction,2014-02-04
112,ORIOLE AVE,K2L 1E7,Ward 23,900,1241,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400497,Construction,2014-02-04
158,ABBOTSFORD RD,K2L 1C9,Ward 23,773,82,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400498,Construction,2014-02-04
25,SEABROOKE DR,K2L 2H8,Ward 23,M222,1472,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a protective plumbing device on the building drain,0,0,0,1400499,Construction,2014-02-04
25,COUNTRY LANE E,K2L 1H9,Ward 23,809,261,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400500,Construction,2014-02-04
5,WINCHESTER DR,K2L 2C8,Ward 23,4M-222,pt lot1445,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400501,Construction,2014-02-04
1620,SCOTT ST,K1Y 4S7,Ward 15,,,CONTRACTOR UNKNOWN,Commercial,Old Ottawa,"Tenant fit up in a 1 storey commercial building (unit 30, 9 seat Starbucks)",0,150000,1335,1400502,Construction,2014-02-04
1288,SHILLINGTON AVE,K1Z 8A4,Ward 16,315560,3,VIRTUS RENOVATIONS,Single,Old Ottawa,Construct a secondary dwelling unit in a 1 storey detached dwelling,1,43000,1133,1400504,Construction,2014-02-04
27,GLENMORISTON AVE,K2L 2S3,Ward 23,4M-350,,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400505,Construction,2014-02-04
301,BRETTONWOOD RIDGE,,Ward 4,,65,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Bedford 2013 B,1,284348,1913,1400506,Construction,2014-02-04
365,BRETTONWOOD RIDGE,,Ward 4,,55,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Bedford 2013 B,1,284348,1913,1400507,Construction,2014-02-04
101,CENTREPOINTE DR,K2G 5K7,Ward 8,,pt 34,CONTRACTOR UNKNOWN,Office,Nepean,"Interior alterations to the library room (Ben Franklin Place, Ottawa Public Library)",0,48000,0,1400508,Construction,2014-02-05
1000,PALLADIUM DR,K2V 1A4,Ward 6,4M-818,,TERLIN CONSTRUCTION LTD.,Commercial,Kanata,Tenant fit-up on the main floor of a 4 storey complex (Sens Foundation),0,120000,1894,1400509,Construction,2014-02-05
1200,ST. LAURENT BLVD,K1K 3B8,Ward 13,747,,SAJO CONSTRUCTION,Retail,Old Ottawa,"Tenant fit up in a 2 storey retail building (Unit 104, Aldo Accessories, St. Laurent Shopping Centre)",0,100000,635,1400510,Construction,2014-02-05
66,WOODROFFE AVE,K2A 3T6,Ward 7,380,pt 1,"GONGORA MILLA, FIDEL",Semi - Detached,Old Ottawa,"Interior alterations in a 3 storey semi detached dwelling (remove load bearing wall, kitchen renovation)",0,23000,45,1400512,Construction,2014-02-05
344,ISLAND PARK DR,K1Y 0A8,Ward 15,400,58,KELSA CONSTRUCTION,Demolition,Old Ottawa,Demolish a detached garage (rear yard),0,500,-194,1400513,Demolition,2014-02-05
344,ISLAND PARK DR,K1Y 0A8,Ward 15,400,58,KELSA CONSTRUCTION,Detached Garage/Shed,Old Ottawa,Construct a detached garage (rear yard),0,18000,420,1400514,Construction,2014-02-05
2409,"PAGE, CHEMIN",,Ward 2,,PT LOT 5,***CONTRACTOR***,Single,Gloucester,Construct a secondary dwelling unit in a 3 storey detached dwelling (3rd floor),1,7500,120,1400515,Construction,2014-02-05
197,GREY FOX DR,K0A 1L0,Ward 5,4M-908,34,***CONTRACTOR***,Single,West Carleton,Finish basement in a 1 storey detached dwelling,0,25000,1192,1400516,Construction,2014-02-05
1122,WELLINGTON ST W,K1Y 2Y7,Ward 15,4M-16,PT LOTS 1 & 2,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit-up in a 2 storey office building (Canadian Dental Hygienists Association),0,100000,6028,1400517,Construction,2014-02-05
3030,CONROY RD,K1G 6C2,Ward 10,,pt A,APOLLO PROPERTY MANAGEMENT,Office,Old Ottawa,Tenant fit up in a 2 storey office building (Siemens Canada),0,250666,7972,1400519,Construction,2014-02-05
352,DALY AVE,K1N 6G9,Ward 12,6,39,STUDIO S INTERIORS INC.,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling (all floors),0,17500,388,1400520,Construction,2014-02-05
1800,ST. LAURENT BLVD,K1G 1A2,Ward 18,,,CONTRACTOR UNKNOWN,Commercial,Old Ottawa,"Base building work. New exterior wall openings in the left and front elevations, for new windows. (New Body Dimensions Fitness Studio)",0,20000,100,1400521,Construction,2014-02-05
700,SUSSEX DR,K1N 1K4,Ward 12,4M-42482,PT LOT B,THOMAS FULLER CONSTRUCTION CO. LIMITED,Mixed,Old Ottawa,"Tenant fit up on the 1st floor of a 7 storey mixed use building (Scotiabank, Unit 3)",0,450000,4865,1400522,Construction,2014-02-05
50,RIDEAU ST,K1N 9J7,Ward 12,3922,,CONTRACTOR UNKNOWN,Commercial,Old Ottawa,PARTIAL PERMIT:  new elevator lobby addition on P1 and P2 levels of the Blue Garage (within Daly Avenue underpass),0,0,0,1400523,Construction,2014-02-05
200,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
202,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
204,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
206,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
208,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
210,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
212,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
214,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
216,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
218,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
220,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
222,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
224,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
226,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
228,CHAPERAL PRIV,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2600387,24189,1400524,Construction,2014-02-05
566,EGRET WAY,K2J 0E3,Ward 3,4M-1471,46,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling,1,472824,3181,1400525,Construction,2014-02-05
1545,CARLING AVE,K1Z 8P9,Ward 15,42,pt 12-13,CORNERSTONE BUILDERS LTD.,Office,Old Ottawa,"Tenant fit up on the 7th floor of an 8 storey office building (3M Canada, unit 700)",0,167110,6189,1400526,Construction,2014-02-05
32,PENTLAND CRES,K2K 1V5,Ward 4,786,101,7 J DESIGN,Single,Kanata,Interior alterations to renovate the kitchen in a 2 storey detached dweliing,0,50000,200,1400528,Construction,2014-02-06
21,GEORGE ST,K1N 8W5,Ward 12,4M-,"H,N,O,1-3,1-5",CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Interior alterations to the basement level and 1st floor of a 2 storey restaurant (the Courtyard),0,50000,161,1400529,Construction,2014-02-06
110,PLACE D'ORLEANS DR,K1C 2L9,Ward 1,,37,CIBS GROUP,Retail,Cumberland,"Tenant fit-up on the 2nd floor of a 2 storey retail building ( Valentine,  Unit 2220)",0,40000,250,1400530,Construction,2014-02-06
544,GILMOUR ST,K1R 5L6,Ward 14,30671,22A,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 3 storey 6-unit dwelling (fire damage),-6,65000,-5000,1400531,Demolition,2014-02-06
546,GILMOUR ST,K1R 5L6,Ward 14,30671,22A,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 3 storey 6-unit dwelling (fire damage),-6,65000,-5000,1400531,Demolition,2014-02-06
2150,ROBERTSON RD,K2H 9S1,Ward 8,,35,2387283 ONTARIO INC,Retail,Nepean,"Tenant Fit-up in a 1 storey retail building (Unit #5, Pure Element of Design)",0,25000,1300,1400532,Construction,2014-02-06
1053,CARLING AVE,K1Y 4E9,Ward 15,135079,,JUMEC CONSTRUCTION INC.,Institutional,Old Ottawa,Interior alterations on the 4th floor of a 8 storey hospital (Civic Hospital),0,600000,8482,1400533,Construction,2014-02-06
4273,NAVAN RD,K4B 1H9,Ward 19,,pt lot 8,***CONTRACTOR***,Demolition,Cumberland,Demolish a storage shed,0,1000,-1500,1400534,Demolition,2014-02-06
2639,COWELL RD,K0A 2T0,Ward 21,,1,THE FIREPLACE CENTRE,Single,Rideau,Install a woodstove in a 1 storey detached dwelling,0,5100,0,1400535,Construction,2014-02-06
770,BROADVIEW AVE,K2A 3Z3,Ward 15,,29,MB FORD CONSTRUCTION LTD.,Office,Old Ottawa,Interior alterations in the basement of a 3 storey office building (Gamma-Dynacare),0,95000,1350,1400536,Construction,2014-02-06
432,KILSPINDIE RIDGE,,Ward 22,,4,UNIFORM URBAN DEVELOPMENTS,Single,Nepean,Construct a 1 Storey Single with attached garage  Model: 1900F Hartsmere 2013,1,297280,2000,1400537,Construction,2014-02-06
20,CLAREMONT DR,K1K 4J5,Ward 13,533,,"LECLAIR, DARREN",Rowhouse,Old Ottawa,Interior alterations on the 1st floor of a 2 storey rowhouse to repair floor joists,0,15000,500,1400538,Construction,2014-02-06
426,KILSPINDIE RIDGE,,Ward 22,,7,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: 3400C Killarney 2013,1,534830,3598,1400539,Construction,2014-02-06
275,SUSSEX DR,K1N 6Z1,Ward 12,3,1,TOMLINSON DEVELOPMENT CORPORATION,Demolition,Old Ottawa,Demolish two 1 storey summer kitchens at the rear of a 3 door row,0,4000,-480,1400542,Demolition,2014-02-06
277,SUSSEX DR,K1N 6Z1,Ward 12,3,1,TOMLINSON DEVELOPMENT CORPORATION,Demolition,Old Ottawa,Demolish two 1 storey summer kitchens at the rear of a 3 door row,0,4000,-480,1400542,Demolition,2014-02-06
279,SUSSEX DR,K1N 6Z1,Ward 12,3,1,TOMLINSON DEVELOPMENT CORPORATION,Demolition,Old Ottawa,Demolish two 1 storey summer kitchens at the rear of a 3 door row,0,4000,-480,1400542,Demolition,2014-02-06
3771,SPRATT RD,K1V 2P3,Ward 22,,pt lot 18-19,GENERAL UNITED CONTRACTING,Retail,Gloucester,"Tenant fit-up in a 1 storey mixed use building (The Pet Shoppe, unit 4, Building D)",0,48308,1300,1400543,Construction,2014-02-06
3638,RIVER RD,K4M 1B4,Ward 20,,PT LOT 33,***CONTRACTOR***,Single,Osgoode,"Construct a 1 storey addition, a covered porch and a deck at the rear of a 1 storey detached dwelling",0,15775,548,1400544,Construction,2014-02-06
74,FULTON AVE,K1S 4Y8,Ward 17,36,5,ABELAN DESIGNER/BUILDER LTD.,Single,Old Ottawa,Interior alterations in a 2 storey detached dwelling and creation of a secondary dwelling unit in the basement,1,200000,2798,1400545,Construction,2014-02-06
6731,FRANKTOWN RD,K0A 2Z0,Ward 21,,pt lot 19,TOP HAT HOME COMFORT SERVICES,Single,Goulbourn,Install a wood insert in a 2 storey detached dwelling (main floor),0,4050,0,1400546,Construction,2014-02-07
301,BOBOLINK RIDGE,,Ward 6,,83,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Rosemere 2012 E,1,341277,2296,1400547,Construction,2014-02-07
275,TARTAN DR,,Ward 3,,pt 15,CONTRACTOR UNKNOWN,Mixed,Nepean,FOUNDATION & SUPERSTRUCTURE ONLY - 5 storey retirement complex with 1 level underground parking,145,23992403,188536,1400548,Construction,2014-02-07
119,CALVINGTON AVE,,Ward 4,,,MINTO COMMUNITIES INC.,Rowhouse,Kanata,"Construct a 2 Storey Rowhouse with attached garages  Models: Astoria 2010 B,Hampton 2010 A,Greenwich 2010 D End Unit,Mulberry 2010 C,Hampton 2010 A",5,822498,7378,1400549,Construction,2014-02-07
121,CALVINGTON AVE,,Ward 4,,,MINTO COMMUNITIES INC.,Rowhouse,Kanata,"Construct a 2 Storey Rowhouse with attached garages  Models: Astoria 2010 B,Hampton 2010 A,Greenwich 2010 D End Unit,Mulberry 2010 C,Hampton 2010 A",5,822498,7378,1400549,Construction,2014-02-07
123,CALVINGTON AVE,,Ward 4,,,MINTO COMMUNITIES INC.,Rowhouse,Kanata,"Construct a 2 Storey Rowhouse with attached garages  Models: Astoria 2010 B,Hampton 2010 A,Greenwich 2010 D End Unit,Mulberry 2010 C,Hampton 2010 A",5,822498,7378,1400549,Construction,2014-02-07
125,CALVINGTON AVE,,Ward 4,,,MINTO COMMUNITIES INC.,Rowhouse,Kanata,"Construct a 2 Storey Rowhouse with attached garages  Models: Astoria 2010 B,Hampton 2010 A,Greenwich 2010 D End Unit,Mulberry 2010 C,Hampton 2010 A",5,822498,7378,1400549,Construction,2014-02-07
127,CALVINGTON AVE,,Ward 4,,,MINTO COMMUNITIES INC.,Rowhouse,Kanata,"Construct a 2 Storey Rowhouse with attached garages  Models: Astoria 2010 B,Hampton 2010 A,Greenwich 2010 D End Unit,Mulberry 2010 C,Hampton 2010 A",5,822498,7378,1400549,Construction,2014-02-07
1200,ST. LAURENT BLVD,K1K 3B8,Ward 13,747,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Interior alterations on the main floor in a 2 storey retail building (TD Canada Trust, St. Laurent Mall)",0,250000,450,1400550,Construction,2014-02-07
44,BARRA AVE,K2L 2S1,Ward 23,M-309,58,ADVANTAGE ENTERPRISES,Single,Kanata,"Exterior alterations to the 1st floor of a 2 storey detached dwelling (rear, install patio door)",0,2000,6,1400551,Construction,2014-02-07
22,FELDSPAR CRES,K2S 1Y3,Ward 6,4M-1084,122,THE RENOVATOR,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0,18060,486,1400552,Construction,2014-02-07
184,KINCARDINE DR,K2V 1C5,Ward 23,4M-1081,,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a protective plumbing device on the building drain,0,0,0,1400553,Construction,2014-02-07
1799,RIVERSIDE DR,K1G 0E5,Ward 17,5R13166,15,REBELO CONSTRUCTION & DEVELOPMENT - 2285023 ONTARIO INC,Industrial,Old Ottawa,Railing repair at the Smyth Transitway Station,0,10000,151,1400554,Construction,2014-02-07
33,CANDOW CRES,K2S 1K7,Ward 6,4M-864,68,"SLATER, MARK",Single,Goulbourn,Interior alterations in the basement of a 2 storey detached dwelling,0,7500,90,1400555,Construction,2014-02-07
6349,HERBERTS CORNERS RD,K4P 1H3,Ward 20,,15,***CONTRACTOR***,Detached Garage/Shed,Osgoode,Construct a 1 storey cover-all building (rear yard),0,13000,2520,1400556,Construction,2014-02-07
41,PEACOCK CRES,K2J 3P8,Ward 3,4M-549,pt 72,***CONTRACTOR***,Single,Nepean,Interior alterations on the 1st floor of a 2 storey detached dwelling (removal of load bearing walls),0,3500,108,1400557,Construction,2014-02-07
